boundary_action,model,first_action_rms_rad,first_action_max_abs_rad,first10_rms_rad,first10_max_abs_rad,snapshot_cloth_rms_m,snapshot_joint_rms_rad,rng_restore_exact,simulator_stepped_during_prediction
5,baseline,0.09281976154677136,0.19119596481323242,0.10662444269022245,0.32939600944519043,0.0,0.0,True,False
5,trained,0.03939545222673684,0.0905180275440216,0.028603873280340784,0.0905180275440216,0.0,0.0,True,False
10,baseline,0.13338453065344408,0.237959623336792,0.2956119911210432,1.0233989357948303,0.0,0.0,True,False
10,trained,0.015094948689048303,0.0280207097530365,0.030279162001913055,0.14273381233215332,0.0,0.0,True,False
