phase,step,conditions_passed,conditions_total,success,condition_1_margin_cm,condition_2_margin_cm,condition_3_margin_cm,condition_4_margin_cm,condition_5_margin_cm
policy,1,2,5,False,-18.763033453361032,-25.64463364883077,-19.824474972525945,5.542764680882129,8.666303706485618
policy,2,2,5,False,-18.762996884717957,-25.649987491380223,-19.827272175229574,5.543998290964982,8.666778577553895
policy,3,2,5,False,-18.762751635489217,-25.653751177144343,-19.83140879896237,5.545583706516904,8.668319675711508
policy,4,2,5,False,-18.764951391771405,-25.65905908170184,-19.833745826762673,5.54638881103606,8.672595023663185
policy,5,2,5,False,-18.767527682085344,-25.664027269410454,-19.837817468378113,5.546335224195431,8.67185507795406
policy,6,2,5,False,-18.76836963888205,-25.668406963784356,-19.83933856729432,5.546899358586824,8.674903648199432
policy,7,2,5,False,-18.767364266554274,-25.67180779121381,-19.84167992823549,5.549309600490979,8.677435305025885
policy,8,2,5,False,-18.766939438532084,-25.676205238144853,-19.843208630067497,5.550725414332128,8.679071563278615
policy,9,2,5,False,-18.76854747753567,-25.679051806392458,-19.846386158883554,5.553360307482716,8.683309574079676
policy,10,2,5,False,-18.76869057929607,-25.682616559849166,-19.84949507494266,5.554451973304875,8.689261317139135
policy,11,2,5,False,-18.7702806447042,-25.684119155594438,-19.851372570723214,5.554889395025807,8.69003338458754
policy,12,2,5,False,-18.771004487227415,-25.686873676957894,-19.854941657013473,5.556943321345614,8.69198763063363
policy,13,2,5,False,-18.77204566297835,-25.68874602264396,-19.855785214975974,5.557066509746964,8.693703523999194
policy,14,2,5,False,-18.77451071016224,-25.69163333664396,-19.85871274668831,5.558135419908169,8.697018006975906
policy,15,2,5,False,-18.77581055484677,-25.6941978335555,-19.86090495194441,5.56008077294965,8.698963364707623
policy,16,2,5,False,-18.776415075478646,-25.69666673522189,-19.86371735927667,5.562628176484637,8.703934833482432
policy,17,2,5,False,-18.778916592551596,-25.699841017289735,-19.865500217386582,5.563828594884129,8.707647484430911
policy,18,2,5,False,-18.780108074436612,-25.701837959473103,-19.869510391164862,5.5646457220396925,8.713089610313645
policy,19,2,5,False,-18.78157196132483,-25.70472991727165,-19.8720304875551,5.566636131367993,8.717728210043688
policy,20,2,5,False,-18.783081121601214,-25.707170045504164,-19.874968502443448,5.569153376098477,8.72127034018838
policy,21,2,5,False,-18.784573317385124,-25.71033957560708,-19.8780435792711,5.570437064225356,8.726154105557278
policy,22,2,5,False,-18.785226841405375,-25.713938293603356,-19.882344195001686,5.572591729335457,8.73098806722508
policy,23,2,5,False,-18.787228778179113,-25.717029301042885,-19.888868464743037,5.574580135963529,8.73928499383545
policy,24,2,5,False,-18.788129040115088,-25.720323457801243,-19.89282756800371,5.577802592817136,8.744179698588386
policy,25,2,5,False,-18.788728224977987,-25.724245235435454,-19.899733164795073,5.5797063213893345,8.749053025798432
policy,26,2,5,False,-18.790524948509947,-25.727791549800166,-19.904124431944062,5.581710266786299,8.75431778906838
policy,27,2,5,False,-18.792345800272862,-25.731745720314976,-19.905865549237554,5.581462444172789,8.758502792573637
