pose,boundary_action,horizon,baseline_source,cached_best_conditions,cached_geometric_success,fresh_best_conditions,fresh_geometric_success,immediate_restore_joint_rms_rad,immediate_restore_cloth_rms_m,cached_replay_max_joint_rms_rad,cached_replay_max_cloth_centroid_error_m,action1_l2_rad,action3_l2_rad,action5_l2_rad,action10_l2_rad,action1_direction_cosine,deterministic_repeat_max_abs,varied_seed_max_abs,paired_outcome_supported
1,5,5,completed pilot executed H50 action stream,3,False,3,False,0.0,0.0,0.002271814737468958,0.004863105248659849,0.9283497929573059,0.3255173861980438,0.2678438723087311,0.12019377946853638,0.9950969815254211,0.0,2.6494436860084534,False
1,10,10,completed pilot executed H50 action stream,4,True,3,False,0.0,0.0,0.001828206004574895,0.00893916841596365,0.5171175003051758,0.2569655776023865,0.2530762255191803,0.1962738335132599,0.9967448711395264,0.0,2.4652722477912903,True
3,5,5,completed pilot executed H50 action stream,4,True,3,False,0.0,0.0,0.008181368000805378,0.003428339259698987,0.3215370774269104,0.10996676236391068,0.12979355454444885,0.5665267109870911,0.9980156421661377,0.0,2.6530121564865112,True
3,10,10,completed pilot executed H50 action stream,4,True,3,False,0.0,0.0,0.021052470430731773,0.00251566874794662,0.46205756068229675,0.7258873581886292,1.0815768241882324,1.2766493558883667,0.9961208701133728,0.0,3.1835503578186035,True
5,5,5,fresh H50 capture (validation run),3,False,2,False,0.0,0.0,2.275478578894763e-07,0.0007311707595363259,2.3861196041107178,2.4883716106414795,2.5315663814544678,3.037964344024658,0.7233595252037048,0.0,2.6620887219905853,False
5,10,10,fresh H50 capture (validation run),3,False,2,False,0.0,0.0,4.811636813428777e-07,0.0006398294353857636,3.143789052963257,3.7653214931488037,2.9260568618774414,3.5243935585021973,0.48760083317756653,0.0,3.371702551841736,False
7,5,5,fresh H50 capture (validation run),2,False,3,False,0.0,0.0,1.2186217190901516e-07,1.3696276255359408e-05,2.107811212539673,2.3013107776641846,2.396498203277588,2.5643725395202637,0.6710758209228516,0.0,2.676846534013748,False
7,10,10,fresh H50 capture (validation run),2,False,2,False,0.0,0.0,0.0,0.0,2.2375833988189697,2.2783267498016357,2.4096453189849854,4.063146114349365,0.6648163199424744,0.0,2.4737351536750793,False
