id,garment,pose_key,seed,usable_samples,terminal_reward,terminal_conditions_passed,terminal_conditions_total,terminal_success,advantage,awr_weight,trajectory_sha256,result_sha256
collect_pant_long_seen_0_pose0,Pant_Long_Seen_0,0,4202,111,0.75,3,4,False,0.1499999761581421,2.523922920227051,d96ef7a77fe42109aa66c9ee9144ac298e06cf23fabe0cbdede49ad2f7088fbd,0413f147d9f38bbd5863cd74be0bf7f54ec918e21a95e3e3a48d26b88ba7292c
collect_pant_long_seen_0_pose1,Pant_Long_Seen_0,1,4203,111,0.75,3,4,False,0.1499999761581421,2.523922920227051,8b5c20c0c38e7d4a64844cc8e388afe5298f7b91be8c281d80fafea3d3a93da9,13f576af08af0682b7b58ff1f2a496d567db6a40291735915d62ecace536efa4
collect_pant_short_seen_0_pose0,Pant_Short_Seen_0,0,4200,111,0.75,3,4,False,0.1499999761581421,2.523922920227051,9febd31fa841df3d1c1d2ae60651687e6d51b727d91b5ab707e6f4068a73a839,58c002f473033f8fcd9e1b5019e739df140f1118fb23a3df52a0e2631f7beb4b
collect_pant_short_seen_0_pose1,Pant_Short_Seen_0,1,4201,111,0.75,3,4,False,0.1499999761581421,2.523922920227051,70e6a180bbc7d54b7edd7b07c2b66eebf5dcb65620faa4fc7ce6e2a049d5e54c,797af1952a1486b37ecded3cadb984be613021591ae8a0580819ffc9fdb4e293
collect_top_long_seen_0_pose0,Top_Long_Seen_0,0,4206,111,0.4,2,5,False,-0.20000001788139343,0.2910037338733673,3ebee8d4e08b9712eeaca0fd1905d21d281d03ad97c7c8dd9363195e2ca764b2,2cf8c4354985770ab6f786da0d9571f840a337986d8bf16344f2e65ca230094e
collect_top_long_seen_0_pose1,Top_Long_Seen_0,1,4207,111,0.6,3,5,False,0.0,1.0000001192092896,56a0fdc5b194a3dc346a07028a6d3113a5e1ff4ca7f0216cdd05ef7b82feacda,33d7028da034ef7e3cccea1f98a5c19a7e6ffb447552ce018965c9b9decaf068
collect_top_short_seen_0_pose0,Top_Short_Seen_0,0,4204,111,0.4,2,5,False,-0.20000001788139343,0.2910037338733673,82957c282d17652d6319f3504ab72269b13bc501dd8725e805822ea5e777f059,0f72d486cb8489459be9bf5382130fd449c527bc2117a984487e8ad83378e1a5
collect_top_short_seen_0_pose1,Top_Short_Seen_0,1,4205,111,0.4,2,5,False,-0.20000001788139343,0.2910037338733673,2b87275bc67c6b472f83790aae9688565b9ecf4608588f49368ff3f46152165a,f590a1d156e5286b5be8ea10dc7a002d86c7ce00d586ab7051a5631977f118f3
