pose,boundary_action,horizon,primary_validated_pose,cached_best_conditions,cached_geometric_success,same_rng_best_conditions,same_rng_geometric_success,normal_fresh_best_conditions,normal_fresh_geometric_success,same_rng_action1_l2_rad,same_rng_action3_l2_rad,same_rng_action5_l2_rad,same_rng_action10_l2_rad,same_rng_max_joint_abs_rad,cached_execution_suffix_action1_l2_rad,immediate_restore_joint_rms_rad,immediate_restore_cloth_rms_m,same_rng_cached_success_separation
1,5,5,True,4,True,3,False,3,False,0.9283497630142944,0.32551737288625104,0.2678438652879241,0.12019377923007547,0.44085144996643066,0.9283497630142944,0.0,0.0,True
1,10,10,True,3,False,3,False,3,False,0.5171174881949943,0.25696558201205805,0.25307624071302964,0.19627382784985278,0.29226839542388916,0.5171174881949943,0.0,0.0,False
3,5,5,True,4,True,3,False,3,False,0.32153708589087193,0.1099667634864802,0.12979354546008506,0.5665267196646995,0.32939600944519043,0.32153708589087193,0.0,0.0,True
3,10,10,True,4,True,3,False,3,False,0.46205756807098697,0.72588732655391,1.0815768523404259,1.2766492842117882,1.0233989357948303,0.46205756807098697,0.0,0.0,True
5,5,5,False,4,True,3,False,3,False,0.39073412417392867,0.29046898109423713,0.262995723709387,0.23740899661826,0.3804163932800293,0.39073412417392867,0.0,0.0,True
5,10,10,False,4,True,4,True,4,True,0.3895816711656764,0.3599796424849819,0.318813837083169,0.6721126935187619,0.5540844202041626,0.3895816711656764,0.0,0.0,False
7,5,5,False,4,True,4,True,4,True,0.868286772656014,0.43110428186363814,0.24836941117990155,0.4130936085619234,0.4828197956085205,0.868286772656014,0.0,0.0,False
7,10,10,False,4,True,4,True,4,True,0.6644031854834573,0.3709394975884502,0.4347148754811237,0.612327585671037,0.3591947555541992,0.6644031854834573,0.0,0.0,False
