checkpoint,boundary_action,first_action_rms_rad,first_action_max_abs_rad,first10_rms_rad,first10_max_abs_rad,snapshot_cloth_rms_m,snapshot_joint_rms_rad,rng_restore_exact,simulator_stepped_during_prediction
baseline,5,0.09281976154677136,0.19119596481323242,0.10662444269022245,0.32939600944519043,0.0,0.0,True,False
baseline,10,0.13338453065344408,0.237959623336792,0.2956119911210432,1.0233989357948303,0.0,0.0,True,False
step_000025,5,0.0655523307770377,0.13764429092407227,0.06418156906332227,0.1863861083984375,0.0,0.0,True,False
step_000025,10,0.05947281840061538,0.15443050861358643,0.14908124227688738,0.5508977472782135,0.0,0.0,True,False
step_000050,5,0.06526862192579563,0.14499568939208984,0.07096480785281749,0.24010992050170898,0.0,0.0,True,False
step_000050,10,0.05856769831249927,0.17061913013458252,0.14044708765241048,0.485356867313385,0.0,0.0,True,False
step_000075,5,0.06529465316881328,0.1361246109008789,0.0739896977904887,0.2697019577026367,0.0,0.0,True,False
step_000075,10,0.05370128858525212,0.1535806655883789,0.13249074187530788,0.49331673979759216,0.0,0.0,True,False
step_000100,5,0.06031132304667708,0.12496709823608398,0.06391465017453328,0.2279118299484253,0.0,0.0,True,False
step_000100,10,0.04584700925190738,0.1251671314239502,0.12471075989740635,0.4997381269931793,0.0,0.0,True,False
step_000125,5,0.05526597162167891,0.11404962837696075,0.06040293084774696,0.2234482765197754,0.0,0.0,True,False
step_000125,10,0.0387188361275704,0.10004019737243652,0.11322017033570031,0.475597620010376,0.0,0.0,True,False
step_000150,5,0.05452258593194783,0.11435310542583466,0.05273023625164182,0.18168485164642334,0.0,0.0,True,False
step_000150,10,0.03383480761833948,0.07453083992004395,0.1008063956446238,0.4490940570831299,0.0,0.0,True,False
step_000175,5,0.051881896132247494,0.1129668653011322,0.04757141096103888,0.15142154693603516,0.0,0.0,True,False
step_000175,10,0.029373517607875384,0.0625607967376709,0.08428036635682183,0.3863910734653473,0.0,0.0,True,False
step_000200,5,0.0511975140940297,0.12288801372051239,0.04846433269664735,0.1720578670501709,0.0,0.0,True,False
step_000200,10,0.024625263346745606,0.04680061340332031,0.07195367422731495,0.32523372769355774,0.0,0.0,True,False
step_000225,5,0.05324959400976381,0.1290845274925232,0.05804927836997376,0.23267626762390137,0.0,0.0,True,False
step_000225,10,0.024863145949494042,0.047518014907836914,0.05927184825786767,0.2742617428302765,0.0,0.0,True,False
step_000250,5,0.054720025765726196,0.12968967854976654,0.070998141420266,0.3171271085739136,0.0,0.0,True,False
step_000250,10,0.02578015636471517,0.05563962459564209,0.06401561035662072,0.26871219277381897,0.0,0.0,True,False
step_000275,5,0.050271419234258895,0.12150369584560394,0.04773099960954654,0.17251455783843994,0.0,0.0,True,False
step_000275,10,0.02030834723039604,0.03951001167297363,0.04793179115181894,0.22967782616615295,0.0,0.0,True,False
step_000300,5,0.05175267306053333,0.1206093579530716,0.04680225487525718,0.15612149238586426,0.0,0.0,True,False
step_000300,10,0.021255223718395014,0.03994560241699219,0.04904672293044227,0.2317972481250763,0.0,0.0,True,False
