checkpoint,step,train_loss,heldout_loss_before,heldout_loss,heldout_relative_change,heldout_gate,boundary5_first10_rms_reduction,boundary10_first10_rms_reduction,boundary_gate,both_gates,selected_earliest_passing
step_000025,25,0.13737161457538605,0.13325396389700472,0.09486277354881167,-0.28810542835233444,True,0.3980595120221175,0.4956860792029116,False,False,False
step_000050,50,0.10273116081953049,0.13325396389700472,0.08526887628249824,-0.360102515611433,True,0.3344414651808068,0.5248938071835452,False,False,False
step_000075,75,0.10172314941883087,0.13325396389700472,0.08366108848713338,-0.3721681063702007,True,0.30607189192583123,0.551808634782148,False,False,False
step_000100,100,0.09720060229301453,0.13325396389700472,0.08426130539737642,-0.36766379826041007,True,0.40056286755725,0.5781268566797025,False,False,False
step_000125,125,0.1137528121471405,0.13325396389700472,0.08240558835677803,-0.38158996590546956,True,0.4334982737191276,0.6169973690636235,False,False,False
step_000150,150,0.0783856213092804,0.13325396389700472,0.0797526934184134,-0.4014985289288938,True,0.5054582709066087,0.6589908438343864,True,True,True
step_000175,175,0.0746186226606369,0.13325396389700472,0.07813832373358309,-0.413613513261203,True,0.5538414104611191,0.7148953057106812,True,True,False
step_000200,200,0.0726715549826622,0.13325396389700472,0.07927965582348406,-0.40504842403966856,True,0.5454669541631135,0.7565941964855805,True,True,False
step_000225,225,0.08602354675531387,0.13325396389700472,0.08271543285809457,-0.37926474801134347,True,0.45557250377734515,0.7994944385270291,False,False,False
step_000250,250,0.09076269716024399,0.13325396389700472,0.08343763183802366,-0.37384502946182774,True,0.3341288392330646,0.7834471798188711,False,False,False
step_000275,275,0.11490897089242935,0.13325396389700472,0.08278304361738265,-0.37875736528657633,True,0.55234467439872,0.8378557278070886,True,True,False
step_000300,300,0.07557022571563721,0.13325396389700472,0.08129119407385588,-0.38995290123836135,True,0.5610551043044374,0.8340841224185683,True,True,False
