boundary_action,probe,classification,deployable_controller,first_action_rms_rad,first5_rms_rad,first10_rms_rad,first10_mean_abs_rad,first10_max_abs_rad,prefix_feature_distance_rms,same_rng_current_all_first10_exact,restore_joint_rms_rad,restore_cloth_rms_m,rng_restore_exact,prediction_zero_sim_steps
5,current-all,control,True,0.09281976154677136,0.05925518591285381,0.10662444269022245,0.0674449826280276,0.32939600944519043,0.0,True,0.0,0.0,True,True
5,old-all-images-current-state,attribution_probe,False,0.06728838527502212,0.04535778840593909,0.07114823949585078,0.04472554959356785,0.27693018317222595,19.130089898228395,False,0.0,0.0,True,True
5,current-images-old-state,attribution_probe,False,0.06053969552853667,0.04362010574018025,0.0394567307544605,0.02759873482088248,0.13591504096984863,0.00229894544574749,False,0.0,0.0,True,True
5,old-top-only,attribution_probe,False,0.09298214090366486,0.05942922458930402,0.1077589363894208,0.06803253144025803,0.3316996097564697,0.12946910373376605,False,0.0,0.0,True,True
5,old-left-only,attribution_probe,False,0.07199166262328231,0.046309896748550856,0.07444357781684088,0.047236972798903785,0.2571687400341034,11.056069120447294,False,0.0,0.0,True,True
5,old-right-only,attribution_probe,False,0.07881878526110758,0.04991805323524201,0.0943816539618387,0.05809766873717308,0.2880180776119232,8.097658629732168,False,0.0,0.0,True,True
5,old-both-wrists,attribution_probe,False,0.06761518884103392,0.04544689261246191,0.07117961563098173,0.044796210775772734,0.2758970558643341,19.112142995407034,False,0.0,0.0,True,True
10,current-all,control,True,0.13338453065344408,0.23404437944483036,0.2956119911210432,0.19965308060248693,1.0233989357948303,0.0,True,0.0,0.0,True,True
10,old-all-images-current-state,attribution_probe,False,0.05603380152892529,0.1469567479999198,0.19884562153228494,0.12030812461938088,0.6790758371353149,31.11723427857496,False,0.0,0.0,True,True
10,current-images-old-state,attribution_probe,False,0.18403988670690868,0.12137520784434645,0.1174314604955961,0.08681312464177608,0.36987316608428955,0.004249570931313345,False,0.0,0.0,True,True
10,old-top-only,attribution_probe,False,0.13515965341222058,0.23634428381215333,0.29722461206410145,0.20092789738749464,1.0254346132278442,0.12137322107891282,False,0.0,0.0,True,True
10,old-left-only,attribution_probe,False,0.06631776822009135,0.1503094830782646,0.1995066912168532,0.12379410510572295,0.7330038547515869,15.582472928683439,False,0.0,0.0,True,True
10,old-right-only,attribution_probe,False,0.12046500754930656,0.24640727009063634,0.30596325851445205,0.20017731323217353,1.013101875782013,16.328620286363513,False,0.0,0.0,True,True
10,old-both-wrists,attribution_probe,False,0.05556047870662559,0.1441182222731192,0.19524842807875625,0.11767919901758432,0.6691329479217529,31.124122304620816,False,0.0,0.0,True,True
