boundary_action,probe,local_action,global_action,action_l2_rad,per_joint_rms_rad
10,old-all-images-current-state,8,18,0.9647851844975225,"[0.13695511968779747, 0.4155155774911308, 0.20234383996077465, 0.0540299880365561, 0.2726228081299075, 0.3944216496149819, 0.028028989881988205, 0.03653012156848358, 0.05058964852128093, 0.058167744447318676, 0.032761440596431796, 0.013228266407129296]"
10,old-all-images-current-state,9,19,1.0711577651354511,"[0.13695511968779747, 0.4155155774911308, 0.20234383996077465, 0.0540299880365561, 0.2726228081299075, 0.3944216496149819, 0.028028989881988205, 0.03653012156848358, 0.05058964852128093, 0.058167744447318676, 0.032761440596431796, 0.013228266407129296]"
10,old-all-images-current-state,10,20,0.992144392118026,"[0.13695511968779747, 0.4155155774911308, 0.20234383996077465, 0.0540299880365561, 0.2726228081299075, 0.3944216496149819, 0.028028989881988205, 0.03653012156848358, 0.05058964852128093, 0.058167744447318676, 0.032761440596431796, 0.013228266407129296]"
10,current-images-old-state,1,11,0.6375328687911717,"[0.07629292771215518, 0.11883639251553946, 0.110228878114305, 0.07850560169970923, 0.10303140761942527, 0.020547973714380798, 0.13808573822117307, 0.20101885313193926, 0.20159987688318778, 0.11302182355729848, 0.05602359135237116, 0.01251057768646786]"
10,current-images-old-state,2,12,0.517712751804858,"[0.07629292771215518, 0.11883639251553946, 0.110228878114305, 0.07850560169970923, 0.10303140761942527, 0.020547973714380798, 0.13808573822117307, 0.20101885313193926, 0.20159987688318778, 0.11302182355729848, 0.05602359135237116, 0.01251057768646786]"
10,current-images-old-state,3,13,0.2766695692106909,"[0.07629292771215518, 0.11883639251553946, 0.110228878114305, 0.07850560169970923, 0.10303140761942527, 0.020547973714380798, 0.13808573822117307, 0.20101885313193926, 0.20159987688318778, 0.11302182355729848, 0.05602359135237116, 0.01251057768646786]"
10,current-images-old-state,4,14,0.29924282238704236,"[0.07629292771215518, 0.11883639251553946, 0.110228878114305, 0.07850560169970923, 0.10303140761942527, 0.020547973714380798, 0.13808573822117307, 0.20101885313193926, 0.20159987688318778, 0.11302182355729848, 0.05602359135237116, 0.01251057768646786]"
10,current-images-old-state,5,15,0.2082054161342732,"[0.07629292771215518, 0.11883639251553946, 0.110228878114305, 0.07850560169970923, 0.10303140761942527, 0.020547973714380798, 0.13808573822117307, 0.20101885313193926, 0.20159987688318778, 0.11302182355729848, 0.05602359135237116, 0.01251057768646786]"
10,current-images-old-state,6,16,0.22347116360257982,"[0.07629292771215518, 0.11883639251553946, 0.110228878114305, 0.07850560169970923, 0.10303140761942527, 0.020547973714380798, 0.13808573822117307, 0.20101885313193926, 0.20159987688318778, 0.11302182355729848, 0.05602359135237116, 0.01251057768646786]"
10,current-images-old-state,7,17,0.1774934400539666,"[0.07629292771215518, 0.11883639251553946, 0.110228878114305, 0.07850560169970923, 0.10303140761942527, 0.020547973714380798, 0.13808573822117307, 0.20101885313193926, 0.20159987688318778, 0.11302182355729848, 0.05602359135237116, 0.01251057768646786]"
10,current-images-old-state,8,18,0.5151808920824703,"[0.07629292771215518, 0.11883639251553946, 0.110228878114305, 0.07850560169970923, 0.10303140761942527, 0.020547973714380798, 0.13808573822117307, 0.20101885313193926, 0.20159987688318778, 0.11302182355729848, 0.05602359135237116, 0.01251057768646786]"
10,current-images-old-state,9,19,0.5630389650078192,"[0.07629292771215518, 0.11883639251553946, 0.110228878114305, 0.07850560169970923, 0.10303140761942527, 0.020547973714380798, 0.13808573822117307, 0.20101885313193926, 0.20159987688318778, 0.11302182355729848, 0.05602359135237116, 0.01251057768646786]"
10,current-images-old-state,10,20,0.3271601672451939,"[0.07629292771215518, 0.11883639251553946, 0.110228878114305, 0.07850560169970923, 0.10303140761942527, 0.020547973714380798, 0.13808573822117307, 0.20101885313193926, 0.20159987688318778, 0.11302182355729848, 0.05602359135237116, 0.01251057768646786]"
10,old-top-only,1,11,0.46820677368673247,"[0.07058547298433299, 0.7402619596738458, 0.4002023873494788, 0.09671058298741442, 0.23067874757282783, 0.43575202198670676, 0.09745898201656329, 0.1858146763570551, 0.20469718008521248, 0.06827275652768094, 0.06227972007735431, 0.008120950498658106]"
10,old-top-only,2,12,0.5888919099978935,"[0.07058547298433299, 0.7402619596738458, 0.4002023873494788, 0.09671058298741442, 0.23067874757282783, 0.43575202198670676, 0.09745898201656329, 0.1858146763570551, 0.20469718008521248, 0.06827275652768094, 0.06227972007735431, 0.008120950498658106]"
10,old-top-only,3,13,0.7376164993610036,"[0.07058547298433299, 0.7402619596738458, 0.4002023873494788, 0.09671058298741442, 0.23067874757282783, 0.43575202198670676, 0.09745898201656329, 0.1858146763570551, 0.20469718008521248, 0.06827275652768094, 0.06227972007735431, 0.008120950498658106]"
10,old-top-only,4,14,1.026643723194026,"[0.07058547298433299, 0.7402619596738458, 0.4002023873494788, 0.09671058298741442, 0.23067874757282783, 0.43575202198670676, 0.09745898201656329, 0.1858146763570551, 0.20469718008521248, 0.06827275652768094, 0.06227972007735431, 0.008120950498658106]"
10,old-top-only,5,15,1.0896928605576903,"[0.07058547298433299, 0.7402619596738458, 0.4002023873494788, 0.09671058298741442, 0.23067874757282783, 0.43575202198670676, 0.09745898201656329, 0.1858146763570551, 0.20469718008521248, 0.06827275652768094, 0.06227972007735431, 0.008120950498658106]"
10,old-top-only,6,16,1.0811586322465143,"[0.07058547298433299, 0.7402619596738458, 0.4002023873494788, 0.09671058298741442, 0.23067874757282783, 0.43575202198670676, 0.09745898201656329, 0.1858146763570551, 0.20469718008521248, 0.06827275652768094, 0.06227972007735431, 0.008120950498658106]"
10,old-top-only,7,17,1.0422026961630733,"[0.07058547298433299, 0.7402619596738458, 0.4002023873494788, 0.09671058298741442, 0.23067874757282783, 0.43575202198670676, 0.09745898201656329, 0.1858146763570551, 0.20469718008521248, 0.06827275652768094, 0.06227972007735431, 0.008120950498658106]"
10,old-top-only,8,18,1.248760549956517,"[0.07058547298433299, 0.7402619596738458, 0.4002023873494788, 0.09671058298741442, 0.23067874757282783, 0.43575202198670676, 0.09745898201656329, 0.1858146763570551, 0.20469718008521248, 0.06827275652768094, 0.06227972007735431, 0.008120950498658106]"
10,old-top-only,9,19,1.3403621736496794,"[0.07058547298433299, 0.7402619596738458, 0.4002023873494788, 0.09671058298741442, 0.23067874757282783, 0.43575202198670676, 0.09745898201656329, 0.1858146763570551, 0.20469718008521248, 0.06827275652768094, 0.06227972007735431, 0.008120950498658106]"
10,old-top-only,10,20,1.2800449433158834,"[0.07058547298433299, 0.7402619596738458, 0.4002023873494788, 0.09671058298741442, 0.23067874757282783, 0.43575202198670676, 0.09745898201656329, 0.1858146763570551, 0.20469718008521248, 0.06827275652768094, 0.06227972007735431, 0.008120950498658106]"
10,old-left-only,1,11,0.2297314880035497,"[0.12005973989144977, 0.44956311131426474, 0.200012951028106, 0.06431674992939103, 0.23218658346900317, 0.3811778753726426, 0.07390865736065555, 0.045406601647952356, 0.07308840713448518, 0.06067682717675551, 0.03354276816879631, 0.00957808712348761]"
10,old-left-only,2,12,0.21903932950950164,"[0.12005973989144977, 0.44956311131426474, 0.200012951028106, 0.06431674992939103, 0.23218658346900317, 0.3811778753726426, 0.07390865736065555, 0.045406601647952356, 0.07308840713448518, 0.06067682717675551, 0.03354276816879631, 0.00957808712348761]"
10,old-left-only,3,13,0.30009407779640734,"[0.12005973989144977, 0.44956311131426474, 0.200012951028106, 0.06431674992939103, 0.23218658346900317, 0.3811778753726426, 0.07390865736065555, 0.045406601647952356, 0.07308840713448518, 0.06067682717675551, 0.03354276816879631, 0.00957808712348761]"
10,old-left-only,4,14,0.8274343132513402,"[0.12005973989144977, 0.44956311131426474, 0.200012951028106, 0.06431674992939103, 0.23218658346900317, 0.3811778753726426, 0.07390865736065555, 0.045406601647952356, 0.07308840713448518, 0.06067682717675551, 0.03354276816879631, 0.00957808712348761]"
10,old-left-only,5,15,0.6929052312321048,"[0.12005973989144977, 0.44956311131426474, 0.200012951028106, 0.06431674992939103, 0.23218658346900317, 0.3811778753726426, 0.07390865736065555, 0.045406601647952356, 0.07308840713448518, 0.06067682717675551, 0.03354276816879631, 0.00957808712348761]"
10,old-left-only,6,16,0.4222458668740013,"[0.12005973989144977, 0.44956311131426474, 0.200012951028106, 0.06431674992939103, 0.23218658346900317, 0.3811778753726426, 0.07390865736065555, 0.045406601647952356, 0.07308840713448518, 0.06067682717675551, 0.03354276816879631, 0.00957808712348761]"
10,old-left-only,7,17,0.3995869381668217,"[0.12005973989144977, 0.44956311131426474, 0.200012951028106, 0.06431674992939103, 0.23218658346900317, 0.3811778753726426, 0.07390865736065555, 0.045406601647952356, 0.07308840713448518, 0.06067682717675551, 0.03354276816879631, 0.00957808712348761]"
10,old-left-only,8,18,0.9577388297612152,"[0.12005973989144977, 0.44956311131426474, 0.200012951028106, 0.06431674992939103, 0.23218658346900317, 0.3811778753726426, 0.07390865736065555, 0.045406601647952356, 0.07308840713448518, 0.06067682717675551, 0.03354276816879631, 0.00957808712348761]"
10,old-left-only,9,19,1.0778257931361472,"[0.12005973989144977, 0.44956311131426474, 0.200012951028106, 0.06431674992939103, 0.23218658346900317, 0.3811778753726426, 0.07390865736065555, 0.045406601647952356, 0.07308840713448518, 0.06067682717675551, 0.03354276816879631, 0.00957808712348761]"
10,old-left-only,10,20,1.0019184293207957,"[0.12005973989144977, 0.44956311131426474, 0.200012951028106, 0.06431674992939103, 0.23218658346900317, 0.3811778753726426, 0.07390865736065555, 0.045406601647952356, 0.07308840713448518, 0.06067682717675551, 0.03354276816879631, 0.00957808712348761]"
10,old-right-only,1,11,0.41730302721913465,"[0.08152022500995523, 0.7421391368101002, 0.43415727413127875, 0.08065235989964804, 0.30284115471232503, 0.4795414929684907, 0.06864295222036006, 0.11738462822988004, 0.15176345281605014, 0.06701052476074097, 0.05654340923454663, 0.008079105929243765]"
10,old-right-only,2,12,0.62508015410894,"[0.08152022500995523, 0.7421391368101002, 0.43415727413127875, 0.08065235989964804, 0.30284115471232503, 0.4795414929684907, 0.06864295222036006, 0.11738462822988004, 0.15176345281605014, 0.06701052476074097, 0.05654340923454663, 0.008079105929243765]"
10,old-right-only,3,13,0.7967852647660782,"[0.08152022500995523, 0.7421391368101002, 0.43415727413127875, 0.08065235989964804, 0.30284115471232503, 0.4795414929684907, 0.06864295222036006, 0.11738462822988004, 0.15176345281605014, 0.06701052476074097, 0.05654340923454663, 0.008079105929243765]"
10,old-right-only,4,14,1.0791570033040379,"[0.08152022500995523, 0.7421391368101002, 0.43415727413127875, 0.08065235989964804, 0.30284115471232503, 0.4795414929684907, 0.06864295222036006, 0.11738462822988004, 0.15176345281605014, 0.06701052476074097, 0.05654340923454663, 0.008079105929243765]"
10,old-right-only,5,15,1.1307868736837983,"[0.08152022500995523, 0.7421391368101002, 0.43415727413127875, 0.08065235989964804, 0.30284115471232503, 0.4795414929684907, 0.06864295222036006, 0.11738462822988004, 0.15176345281605014, 0.06701052476074097, 0.05654340923454663, 0.008079105929243765]"
10,old-right-only,6,16,1.0951540762935765,"[0.08152022500995523, 0.7421391368101002, 0.43415727413127875, 0.08065235989964804, 0.30284115471232503, 0.4795414929684907, 0.06864295222036006, 0.11738462822988004, 0.15176345281605014, 0.06701052476074097, 0.05654340923454663, 0.008079105929243765]"
10,old-right-only,7,17,1.0723346646608216,"[0.08152022500995523, 0.7421391368101002, 0.43415727413127875, 0.08065235989964804, 0.30284115471232503, 0.4795414929684907, 0.06864295222036006, 0.11738462822988004, 0.15176345281605014, 0.06701052476074097, 0.05654340923454663, 0.008079105929243765]"
10,old-right-only,8,18,1.2939490079218297,"[0.08152022500995523, 0.7421391368101002, 0.43415727413127875, 0.08065235989964804, 0.30284115471232503, 0.4795414929684907, 0.06864295222036006, 0.11738462822988004, 0.15176345281605014, 0.06701052476074097, 0.05654340923454663, 0.008079105929243765]"
10,old-right-only,9,19,1.367273954608019,"[0.08152022500995523, 0.7421391368101002, 0.43415727413127875, 0.08065235989964804, 0.30284115471232503, 0.4795414929684907, 0.06864295222036006, 0.11738462822988004, 0.15176345281605014, 0.06701052476074097, 0.05654340923454663, 0.008079105929243765]"
10,old-right-only,10,20,1.3029286688746886,"[0.08152022500995523, 0.7421391368101002, 0.43415727413127875, 0.08065235989964804, 0.30284115471232503, 0.4795414929684907, 0.06864295222036006, 0.11738462822988004, 0.15176345281605014, 0.06701052476074097, 0.05654340923454663, 0.008079105929243765]"
10,old-both-wrists,1,11,0.1924671440254485,"[0.1370616180942974, 0.4052820878481043, 0.19673705198653418, 0.05311223549151586, 0.2691687165938332, 0.38887722493599475, 0.02777245533604346, 0.03633776284629615, 0.050292817222402086, 0.05813439032990007, 0.032400513082725686, 0.013028604542398771]"
10,old-both-wrists,2,12,0.19492486059482217,"[0.1370616180942974, 0.4052820878481043, 0.19673705198653418, 0.05311223549151586, 0.2691687165938332, 0.38887722493599475, 0.02777245533604346, 0.03633776284629615, 0.050292817222402086, 0.05813439032990007, 0.032400513082725686, 0.013028604542398771]"
10,old-both-wrists,3,13,0.30009929058109197,"[0.1370616180942974, 0.4052820878481043, 0.19673705198653418, 0.05311223549151586, 0.2691687165938332, 0.38887722493599475, 0.02777245533604346, 0.03633776284629615, 0.050292817222402086, 0.05813439032990007, 0.032400513082725686, 0.013028604542398771]"
10,old-both-wrists,4,14,0.8020971067234948,"[0.1370616180942974, 0.4052820878481043, 0.19673705198653418, 0.05311223549151586, 0.2691687165938332, 0.38887722493599475, 0.02777245533604346, 0.03633776284629615, 0.050292817222402086, 0.05813439032990007, 0.032400513082725686, 0.013028604542398771]"
10,old-both-wrists,5,15,0.6616230526826825,"[0.1370616180942974, 0.4052820878481043, 0.19673705198653418, 0.05311223549151586, 0.2691687165938332, 0.38887722493599475, 0.02777245533604346, 0.03633776284629615, 0.050292817222402086, 0.05813439032990007, 0.032400513082725686, 0.013028604542398771]"
10,old-both-wrists,6,16,0.42061039966791974,"[0.1370616180942974, 0.4052820878481043, 0.19673705198653418, 0.05311223549151586, 0.2691687165938332, 0.38887722493599475, 0.02777245533604346, 0.03633776284629615, 0.050292817222402086, 0.05813439032990007, 0.032400513082725686, 0.013028604542398771]"
10,old-both-wrists,7,17,0.3874710962354751,"[0.1370616180942974, 0.4052820878481043, 0.19673705198653418, 0.05311223549151586, 0.2691687165938332, 0.38887722493599475, 0.02777245533604346, 0.03633776284629615, 0.050292817222402086, 0.05813439032990007, 0.032400513082725686, 0.013028604542398771]"
10,old-both-wrists,8,18,0.9557152495840928,"[0.1370616180942974, 0.4052820878481043, 0.19673705198653418, 0.05311223549151586, 0.2691687165938332, 0.38887722493599475, 0.02777245533604346, 0.03633776284629615, 0.050292817222402086, 0.05813439032990007, 0.032400513082725686, 0.013028604542398771]"
10,old-both-wrists,9,19,1.0624803572758066,"[0.1370616180942974, 0.4052820878481043, 0.19673705198653418, 0.05311223549151586, 0.2691687165938332, 0.38887722493599475, 0.02777245533604346, 0.03633776284629615, 0.050292817222402086, 0.05813439032990007, 0.032400513082725686, 0.013028604542398771]"
10,old-both-wrists,10,20,0.9793503019787866,"[0.1370616180942974, 0.4052820878481043, 0.19673705198653418, 0.05311223549151586, 0.2691687165938332, 0.38887722493599475, 0.02777245533604346, 0.03633776284629615, 0.050292817222402086, 0.05813439032990007, 0.032400513082725686, 0.013028604542398771]"
